name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Martin Day,8,6,177.8,65.77,185.42,Orthodox,35,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5
Kevin Lee,18,8,175.26,77.11,195.58,Orthodox,32,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8
Ben Askren,19,2,180.34,77.11,185.42,Orthodox,40,3.64,0.49,5.66,0.36,4.33,0.55,0,0.9
Daniel Omielanczuk,19,8,182.88,112.04,187.96,Southpaw,42,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1
Merab Dvalishvili,18,4,167.64,61.23,172.72,Orthodox,33,4.35,0.42,2.31,0.56,6.09,0.36,0.8,0.3
Brad Tavares,20,11,185.42,83.91,187.96,Orthodox,36,3.43,0.43,3.31,0.55,0.74,0.26,0.8,0
Guto Inocente,7,4,190.5,92.99,None,Orthodox,38,4.13,0.66,2.92,0.54,0.67,0.33,0.66,0.7
Sultan Aliev,15,3,180.34,77.11,187.96,Orthodox,40,1.41,0.45,2.2,0.56,1.76,0.38,1,0
Bill Algeo,18,9,182.88,65.77,185.42,Switch,35,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1
Ali AlQaisi,8,5,167.64,61.23,172.72,Orthodox,34,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1
Mike Kyle,22,14,193.04,92.99,195.58,Orthodox,44,3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8
Brandon Wolff,7,5,175.26,77.11,None,Orthodox,49,0.47,0.33,10.91,0.19,0,0,0,0
Myles Jury,17,4,177.8,65.77,185.42,Orthodox,35,2.94,0.42,2.16,0.66,2.16,0.55,0.5,0.3
Ricky Rainey,12,6,185.42,77.11,195.58,Switch,41,2.55,0.48,2.62,0.46,0.95,0.18,0.55,0
Marc Diakiese,17,7,177.8,70.31,185.42,Orthodox,31,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0
Jordan Griffin,18,9,177.8,65.77,185.42,Southpaw,34,2.52,0.46,3.02,0.5,1.45,0.35,0.42,1.9
Istela Nunes,6,5,162.56,52.16,167.64,Orthodox,32,5.02,0.45,4.84,0.6,0,0,0.5,0
Chase Gormley,14,6,190.5,120.2,None,Orthodox,None,3.6,0.42,6.03,0.44,3.12,0.42,0,1
Carls John De Tomas,6,2,165.1,56.7,180.34,Southpaw,28,1.74,0.37,3.93,0.44,1.37,0.33,0.66,0
Rafael Dos Anjos,32,16,172.72,77.11,177.8,Southpaw,39,3.48,0.47,3.21,0.6,1.95,0.35,0.55,0.6
Jeremy Kennedy,11,1,180.34,65.77,180.34,Orthodox,32,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0
Marcus LeVesseur,22,7,175.26,70.31,177.8,Southpaw,42,2.55,0.64,3.7,0.37,3.89,0.36,0.83,0.6
Charles Johnson,16,6,175.26,56.7,177.8,Switch,33,4.83,0.51,3.45,0.58,0.38,0.2,0.66,0.5
Jarred Brooks,13,2,160.02,56.7,157.48,Switch,31,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6
Mike Russow,15,3,185.42,115.67,185.42,Orthodox,48,1.55,0.47,2.9,0.59,4.66,0.43,0,0.7
Paul Buentello,35,17,187.96,111.13,195.58,Orthodox,50,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4
Paul Varelans,9,9,203.2,136.08,None,Orthodox,None,0,0,0,0,0,0,0,0
Matheus Nicolau,19,5,167.64,56.7,167.64,Orthodox,31,3.62,0.52,3.19,0.66,1.38,0.45,0.93,0.8
Maryna Moroz,11,6,170.18,56.7,170.18,Orthodox,33,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6
Eddie Mendez,8,3,177.8,83.91,None,,40,1.71,0.33,3.43,0.11,0,0,0,0
Nick Sanzo,1,1,175.26,86.18,None,,None,0,0,0,0,0,0,0,0
James Te Huna,16,9,187.96,83.91,190.5,Orthodox,43,4.04,0.51,2.99,0.62,2.75,0.37,0.58,0.2
Diego Saraiva,22,20,167.64,70.31,None,Orthodox,42,1.64,0.32,3.58,0.62,1.33,0.4,0,0.7
Nohelin Hernandez,9,4,177.8,61.23,180.34,Orthodox,30,1.32,0.34,2.63,0.52,0.71,0.5,0.37,0
James Lee,15,3,180.34,92.99,None,Southpaw,51,1.4,0.42,3.72,0.27,13.95,0.5,0,7
Farid Basharat,12,0,172.72,61.23,180.34,Orthodox,27,4.47,0.58,2.44,0.57,3.96,0.41,0.83,0.6
Jon Jones,27,1,193.04,112.49,213.36,Orthodox,37,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5
