name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Sergio Pettis,18,5,167.64,56.7,175.26,Orthodox,31,3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4
Thomas Ramirez,0,1,185.42,185.97,None,Sideways,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Matthews,7,3,172.72,65.77,180.34,Switch,32,5.08,0.43,6.25,0.56,3.46,0.55,0.5,0.7
Rick Story,19,9,175.26,77.11,180.34,Southpaw,40,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9
James Lee,15,3,180.34,92.99,None,Southpaw,51,1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0
Khaos Williams,15,4,182.88,77.11,195.58,Orthodox,30,5.36,0.38,5.19,0.43,0.0,0.0,0.6,0.0
Valter Walker,13,1,198.12,120.2,198.12,Orthodox,27,1.79,0.51,3.02,0.42,4.95,0.7,0.0,1.4
Caolan Loughran,10,2,167.64,61.23,172.72,Orthodox,28,4.73,0.42,5.2,0.52,3.0,0.34,0.87,0.0
Maycee Barber,14,2,165.1,56.7,165.1,Switch,26,4.7,0.53,2.9,0.54,1.44,0.43,0.53,0.1
Cristiano Marcello,13,6,175.26,70.31,182.88,Orthodox,47,2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9
Katsunori Kikuno,24,8,172.72,65.77,167.64,Orthodox,43,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8
Poliana Botelho,8,5,172.72,56.7,170.18,Orthodox,36,2.9,0.58,2.8,0.54,0.85,0.57,0.76,0.0
Davey Grant,16,7,172.72,61.23,175.26,Orthodox,39,5.25,0.44,3.89,0.55,1.14,0.4,0.61,0.2
Colby Thicknesse,7,1,170.18,61.23,175.26,Orthodox,25,2.53,0.29,2.73,0.48,0.0,0.0,0.5,0.0
Bo Nickal,7,0,185.42,83.91,193.04,Southpaw,29,2.65,0.63,1.86,0.64,3.61,0.5,0.0,3.6
Junie Browning,5,6,175.26,70.31,None,Orthodox,40,3.76,0.48,1.76,0.66,3.53,0.66,0.0,3.5
Jose Daniel Medina,11,4,182.88,83.91,187.96,Orthodox,33,1.87,0.33,4.93,0.48,0.5,0.33,0.31,0.0
Ansar Chalangov,14,5,175.26,77.11,None,Orthodox,45,0.68,0.66,1.69,0.54,0.0,0.0,0.0,7.6
Jacob Malkoun,8,3,175.26,83.91,185.42,Orthodox,29,3.86,0.56,2.48,0.52,6.62,0.42,0.2,0.4
Tamires Vidal,7,4,167.64,61.23,172.72,Orthodox,26,2.91,0.53,4.46,0.49,0.0,0.0,0.35,0.7
Jeff Molina,11,2,167.64,56.7,175.26,Orthodox,27,7.25,0.48,5.04,0.55,0.0,0.0,0.66,0.0
Sabah Homasi,11,8,182.88,77.11,182.88,Orthodox,36,4.98,0.48,6.91,0.47,2.8,0.5,0.66,0.0
Claude Patrick,14,2,180.34,77.11,190.5,Orthodox,44,1.8,0.55,0.89,0.69,2.32,0.53,0.84,1.7
Jesse Lennox,14,4,175.26,77.11,182.88,Orthodox,43,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3
David Baron,17,4,167.64,70.31,None,Switch,52,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7
Marcus Aurelio,22,10,177.8,70.31,187.96,Orthodox,51,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
Melissa Mullins,7,1,170.18,61.23,172.72,Orthodox,33,3.43,0.56,3.26,0.49,1.53,0.37,0.85,0.0
